source,lambda,value,std,quantity,final_step
AMP_random_F_N1250_M400,1.0,1.512098837e-06,1.1268602955e-06,m_overlap_Y,150
AMP_random_F_N1250_M400,2.0,0.057328542074,0.00011924827828,m_overlap_Y,150
AMP_random_F_N1250_M400,3.0,0.1375075231,0.00014462316979,m_overlap_Y,150
AMP_random_F_N1250_M400,5.0,0.18448599676,0.00048226734627,m_overlap_Y,150
AMP_random_F_N1250_M400,10.0,0.20372977853,0.00041539005345,m_overlap_Y,150
AMP_random_F_N1250_M500,1.0,5.4986207587e-08,3.2728010258e-08,m_overlap_Y,100
AMP_random_F_N1250_M500,2.0,0.062807100266,9.2916820916e-05,m_overlap_Y,100
AMP_random_F_N1250_M500,3.0,0.14272300154,0.00028987089864,m_overlap_Y,100
AMP_random_F_N1250_M500,5.0,0.18826203495,0.00054856398159,m_overlap_Y,100
AMP_random_F_N1250_M500,10.0,0.20701467544,0.00066830086522,m_overlap_Y,100
AMP_random_F_N1250_M500,20.0,0.21131703556,0.00062242173822,m_overlap_Y,100
AMP_random_F_N2500_M400,1.0,4.4050924075e-18,2.2718203966e-18,m_overlap_Y,150
AMP_random_F_N2500_M400,2.0,0.061252628639,5.3359314312e-05,m_overlap_Y,150
AMP_random_F_N2500_M400,3.0,0.14082774967,0.00017568124587,m_overlap_Y,150
AMP_random_F_N2500_M400,5.0,0.18575551063,0.00041487648891,m_overlap_Y,150
SE_alpha1.6_N1=N2,0.1,6.266738639965649e-30,0.0,m_y=m_w*m_x,-1
SE_alpha1.6_N1=N2,0.2,6.058521662369631e-29,0.0,m_y=m_w*m_x,-1
SE_alpha1.6_N1=N2,0.4,4.8544887530198796e-27,0.0,m_y=m_w*m_x,-1
SE_alpha1.6_N1=N2,0.8,2.2362518674804986e-24,0.0,m_y=m_w*m_x,-1
SE_alpha1.6_N1=N2,1.0,1.4638804681814046e-23,0.0,m_y=m_w*m_x,-1
SE_alpha1.6_N1=N2,2.0,0.06837363085626272,0.0,m_y=m_w*m_x,-1
SE_alpha1.6_N1=N2,3.0,0.16914290899109463,0.0,m_y=m_w*m_x,-1
SE_alpha1.6_N1=N2,5.0,0.26745166003669546,0.0,m_y=m_w*m_x,-1
SE_alpha1.6_N1=N2,8.0,0.31826575471241114,0.0,m_y=m_w*m_x,-1
SE_alpha1.6_N1=N2,10.0,0.3322291235948766,0.0,m_y=m_w*m_x,-1
SE_alpha1.6_N1=N2,15.0,0.3471348273539341,0.0,m_y=m_w*m_x,-1
SE_alpha1.6_N1=N2,30.0,0.356697109489256,0.0,m_y=m_w*m_x,-1
SE_alpha1.6_N1=N2,60.0,0.3591685890039322,0.0,m_y=m_w*m_x,-1
SE_alpha1.6_N1=N2,120.0,0.35979178711906157,0.0,m_y=m_w*m_x,-1
SE_alpha1.6_N1=N2,240.0,0.3599479241938288,0.0,m_y=m_w*m_x,-1
SE_alpha1.6_N1=N2,480.0,0.359986979631165,0.0,m_y=m_w*m_x,-1
SE_alpha1.6_N1=N2,960.0,0.35999674481466976,0.0,m_y=m_w*m_x,-1
