alpha,cosine_similarity_mean,cosine_similarity_std,Loss_mean,Loss_std,Steps_mean,cosine_similarity_replica_0,cosine_similarity_replica_1,cosine_similarity_replica_2,cosine_similarity_replica_3,cosine_similarity_replica_4
0.1,0.0007231801166199148,0.0006077846188936416,18.632143545150758,30.711365494287683,2500.0,-0.00030477906693704426,0.0007985426927916706,0.0004752694221679121,0.0013592283939942718,0.0012876391410827637
0.30000000000000004,0.0024129128316417335,0.0007224189469462863,4.394540858268738,4.006138886701055,2500.0,0.0028497218154370785,0.0019057845929637551,0.0030241080094128847,0.003048463724553585,0.0012364860158413649
0.5000000000000001,0.00433522267267108,0.0008867073931024191,1.1224802255630493,0.18732284560956516,2500.0,0.003341707633808255,0.0034472604747861624,0.005704215262085199,0.0043173846788704395,0.004865545313805342
0.7000000000000002,0.0066990903578698635,0.000613157603648344,1.1873722195625305,0.2893528419383516,2500.0,0.00731754070147872,0.006512326188385487,0.005852750968188047,0.0063318777829408646,0.007480956148356199
0.9000000000000001,0.006374437920749187,0.0014552752958932587,1.192060649394989,0.20670965292462568,2500.0,0.005835351534187794,0.007914206944406033,0.005571903195232153,0.004369591828435659,0.008181136101484299
1.1,0.011782454885542392,0.003945108722535188,1.5606741905212402,0.48840504500152826,2180.2,0.014569840393960476,0.011731063947081566,0.006093159317970276,0.017340660095214844,0.009177550673484802
1.3000000000000003,0.00916994083672762,0.0011962542506579763,1.0969136238098145,0.0804969947211195,2500.0,0.008360251784324646,0.011543376371264458,0.008799159899353981,0.008666373789310455,0.008480542339384556
1.5000000000000002,0.009726265538483858,0.0013803164120290542,1.2465343236923219,0.15548731913977717,2500.0,0.009306227788329124,0.007295643445104361,0.010098710656166077,0.010624402202665806,0.011306343600153923
1.7000000000000004,0.012524747848510742,0.004548379937782436,1.4512619495391845,0.190509455523716,2240.2,0.009725735522806644,0.01282703597098589,0.006805328652262688,0.012821737676858902,0.020443901419639587
1.9000000000000004,0.020090572349727154,0.009313619989767886,1.5924436330795289,0.2033513696761292,2500.0,0.01043908391147852,0.037708960473537445,0.017982419580221176,0.019229047000408173,0.015093350782990456
2.1000000000000005,0.020815246738493443,0.006981850746968753,1.7252545833587647,0.3121488863405974,2500.0,0.015591120347380638,0.02878367155790329,0.013368862681090832,0.029740499332547188,0.016592079773545265
2.3000000000000003,0.01917009484022856,0.0037639004499579586,1.423215651512146,0.41288012836181004,2500.0,0.02617017924785614,0.018792152404785156,0.0162641704082489,0.019092600792646408,0.015531371347606182
2.5000000000000004,0.02413880070671439,0.0139804385105092,1.0212064146995545,0.1291413401096794,2500.0,0.011438309215009212,0.043926093727350235,0.024355415254831314,0.034588634967803955,0.006385550368577242
2.7000000000000006,0.032001178711652756,0.012591388603366895,1.0395449876785279,0.12408048363047626,2500.0,0.019754234701395035,0.030805613845586777,0.04029659926891327,0.05129653587937355,0.017852909862995148
2.9000000000000004,0.049728870019316675,0.01648423444309193,0.9417115211486816,0.05653605842998235,2500.0,0.03357594460248947,0.027546828612685204,0.0621228851377964,0.055096324533224106,0.07030236721038818
3.1000000000000005,0.06280668377876282,0.02578438786114713,3.171404242515564,4.610194786821594,2500.0,0.0705709382891655,0.011793553829193115,0.08114951848983765,0.07799239456653595,0.07252701371908188
3.3000000000000007,0.09651834964752197,0.039712433217802004,0.8724710702896118,0.07403788358603985,2500.0,0.09711741656064987,0.08012223243713379,0.07107759267091751,0.06182593107223511,0.17244857549667358
3.500000000000001,0.08213246017694473,0.029014131796768882,0.9418547987937927,0.09947562455994406,2500.0,0.09423960000276566,0.04546380043029785,0.06402121484279633,0.0762711763381958,0.13066650927066803
3.7000000000000006,0.0900542713701725,0.0367685369637335,0.9459253191947937,0.09399869218508367,2500.0,0.11034329980611801,0.05582612380385399,0.07185733318328857,0.059598520398139954,0.15264607965946198
3.900000000000001,0.10361540839076042,0.05204630776851557,0.9337204098701477,0.08955086588971814,2500.0,0.13729198276996613,0.06146544590592384,0.06179286539554596,0.06704062968492508,0.1904861181974411
4.1000000000000005,0.1212050512433052,0.0521794853148664,0.9136277079582215,0.048837313659434445,2500.0,0.10958045721054077,0.11211362481117249,0.07552529871463776,0.08693120628595352,0.2218746691942215
4.300000000000001,0.13403191640973092,0.06963371451386355,0.9339407086372375,0.08406228789991578,2500.0,0.09981930255889893,0.09448832273483276,0.04402672126889229,0.2162580043077469,0.2155672311782837
4.500000000000001,0.12409196570515632,0.06680427676667655,1.0213924050331116,0.12389580206066604,2500.0,0.11482375115156174,0.05026725307106972,0.11052116751670837,0.09521643072366714,0.24963122606277466
4.700000000000001,0.13482541516423224,0.04412647685859418,0.9405231237411499,0.04531714316827383,2500.0,0.1073417216539383,0.15613098442554474,0.06163719668984413,0.1713128387928009,0.1777043342590332
4.900000000000001,0.11743967086076737,0.04748959321671737,0.9765502214431763,0.04718496901510438,2500.0,0.0777624100446701,0.09440495073795319,0.06609729677438736,0.17051801085472107,0.1784156858921051
