alpha,cosine_similarity_mean,cosine_similarity_std,loss_per_edge_mean,loss_per_edge_std,Steps_mean,cosine_similarity_replica_0,loss_per_edge_replica_0
0.0,0.020480185747146606,0.0,2.3674382454430543e-09,0.0,1201.0,0.020480185747146606,2.3674382454430543e-09
0.2,0.024915866553783417,0.0,1.5822628762762747e-09,0.0,1801.0,0.024915866553783417,1.5822628762762747e-09
0.4,0.03532375767827034,0.0,1.0018458285188103e-09,0.0,2501.0,0.03532375767827034,1.0018458285188103e-09
0.6000000000000001,0.04927680641412735,0.0,9.15830113967786e-08,0.0,3000.0,0.04927680641412735,9.15830113967786e-08
0.8,0.05865488201379776,0.0,2.493108013368328e-06,0.0,3000.0,0.05865488201379776,2.493108013368328e-06
1.0,0.06876692920923233,0.0,0.00012507261999417096,0.0,3000.0,0.06876692920923233,0.00012507261999417096
1.2000000000000002,0.08529050648212433,0.0,0.0010500707430765033,0.0,3000.0,0.08529050648212433,0.0010500707430765033
1.4000000000000001,0.12862752377986908,0.0,0.011331778950989246,0.0,3000.0,0.12862752377986908,0.011331778950989246
1.6,0.16792172193527222,0.0,0.04561077058315277,0.0,3000.0,0.16792172193527222,0.04561077058315277
1.8,0.2253553569316864,0.0,0.13020549714565277,0.0,3000.0,0.2253553569316864,0.13020549714565277
2.0,0.2779008448123932,0.0,0.2043512761592865,0.0,3000.0,0.2779008448123932,0.2043512761592865
2.2,0.3487846851348877,0.0,0.26829618215560913,0.0,3000.0,0.3487846851348877,0.26829618215560913
2.4000000000000004,0.40490612387657166,0.0,0.3443027436733246,0.0,3000.0,0.40490612387657166,0.3443027436733246
2.6,0.5422738194465637,0.0,0.3655920922756195,0.0,3000.0,0.5422738194465637,0.3655920922756195
2.8000000000000003,0.6843549013137817,0.0,0.30694493651390076,0.0,3000.0,0.6843549013137817,0.30694493651390076
3.0,0.7700481414794922,0.0,0.29060760140419006,0.0,3000.0,0.7700481414794922,0.29060760140419006
3.2,0.93280428647995,0.0,0.1017836183309555,0.0,3000.0,0.93280428647995,0.1017836183309555
3.4000000000000004,0.9944598078727722,0.0,0.010454731993377209,0.0,3000.0,0.9944598078727722,0.010454731993377209
3.6,0.9999638795852661,0.0,6.000397479510866e-05,0.0,3000.0,0.9999638795852661,6.000397479510866e-05
3.8000000000000003,0.9802780747413635,0.0,0.044647421687841415,0.0,3000.0,0.9802780747413635,0.044647421687841415
4.0,0.9999985694885254,0.0,6.6708398662740365e-06,0.0,3000.0,0.9999985694885254,6.6708398662740365e-06
4.2,0.999999463558197,0.0,1.2002457197013428e-06,0.0,3000.0,0.999999463558197,1.2002457197013428e-06
4.4,0.9999998211860657,0.0,1.1550001772775431e-06,0.0,3000.0,0.9999998211860657,1.1550001772775431e-06
4.6000000000000005,1.0,0.0,4.73999307359918e-07,0.0,3000.0,1.0,4.73999307359918e-07
4.800000000000001,1.0,0.0,1.7407931807156274e-07,0.0,3000.0,1.0,1.7407931807156274e-07
5.0,1.0,0.0,8.881485058509497e-08,0.0,3000.0,1.0,8.881485058509497e-08
