alpha,Q_Y_mean_sigmaInit0.0,Q_Y_std_sigmaInit0.0,Q_Y_mean_sigmaInit0.1,Q_Y_std_sigmaInit0.1,Q_Y_mean_sigmaInit0.5,Q_Y_std_sigmaInit0.5,Q_Y_mean_sigmaInit1.0,Q_Y_std_sigmaInit1.0,Q_Y_mean_sigmaInit2.0,Q_Y_std_sigmaInit2.0,Q_Y_mean_sigmaInit4.0,Q_Y_std_sigmaInit4.0,Q_Y_mean_sigmaInit8.0,Q_Y_std_sigmaInit8.0
0.5,0.9979491472244263,0.0024990951079939617,0.9905268311500549,0.0024685580490072445,0.8406602382659912,0.0034921690134305985,0.5699562430381775,0.005140635093107069,0.24841030836105346,0.003964230689237397,0.07794054746627807,0.0018760315434117058,0.023311697691679,0.0011371945137261974
0.75,0.995897912979126,0.0025084448934002226,0.9899179458618164,0.002454552384308802,0.8648542761802673,0.002813786130704494,0.6175891637802124,0.0055452883717370125,0.28867028951644896,0.005091525859220529,0.09572327584028244,0.0035107156913645257,0.031244264170527457,0.0018580996614983485
1.0,0.9938400506973266,0.002425974734398679,0.9888558864593506,0.0023814529162158628,0.8814257264137269,0.003040346307096391,0.6546027302742005,0.004642998166416733,0.320256370306015,0.0063742559468845045,0.11120475232601165,0.004580798501411768,0.03832266852259636,0.003456411533900374
1.25,0.9904645085334778,0.0025002162227011197,0.9865033149719238,0.0024930589663902433,0.8988310694694519,0.003861801230149967,0.6947725772857666,0.007421697225470762,0.3545869648456573,0.0073549505062391884,0.1319710537791252,0.005972505842238417,0.046800969541072844,0.0030116622856315224
1.5,0.9796408653259278,0.002622957116647225,0.9772287607192993,0.002569393151622256,0.9201203227043152,0.002937272836740644,0.7605547428131103,0.0056595276023891535,0.4389770030975342,0.009166680717816485,0.18225554823875428,0.015613902094931699,0.06989302411675453,0.008158705478415837
1.75,0.9343650341033936,0.002943920049251496,0.9336924076080322,0.0027999267146455336,0.9143264293670654,0.0031224183832597747,0.840162169933319,0.004185718453822319,0.5669558882713318,0.010060870142444913,0.2633072197437286,0.01319116028413947,0.12390201985836029,0.012378720631326324
2.0,0.9115267276763916,0.00326751283255125,0.9113028645515442,0.003327581309383638,0.9079228520393372,0.00305979056955246,0.8923599362373352,0.004640996179507437,0.7500256180763245,0.010885085074754464,0.3956507980823517,0.01146435553920382,0.18279320299625396,0.023474536024812507
2.25,0.9432163715362549,0.0020769625510784497,0.943205201625824,0.0021088384339068744,0.9429051876068115,0.002387482200714724,0.9421321272850036,0.003110532268347184,0.9392675399780274,0.002647364567031635,0.7153958201408386,0.03922550618834273,0.3121524751186371,0.032011902363449404
2.5,0.9772310853004456,0.0037028659941051294,0.9772308945655823,0.0037032599906221316,0.9772298216819764,0.0037051355884323497,0.977228844165802,0.0037061784628169008,0.9772285223007202,0.0037066758288137112,0.9760986328125,0.005551294268892992,0.975852119922638,0.003688748734567012
2.75,0.9873872518539428,0.0033164628727048815,0.9873871684074402,0.003316567874644651,0.9873870253562927,0.0033166844035490226,0.9873869180679321,0.003316812972898995,0.9873868703842164,0.0033168729819627644,0.9873875498771667,0.003316066285649818,0.9873884081840515,0.0033148465531355337
3.0,0.9904760241508483,0.0032323794971481734,0.9904760837554931,0.003232320506724568,0.990476107597351,0.0032322911035899864,0.9904753804206848,0.003233055476687639,0.9904760956764221,0.0032323074597277223,0.9904754042625428,0.003233057825811089,0.990475308895111,0.0032331704658246016
