N,M,alpha,Q_Y_mean,Q_Y_std
100,1,1.0,0.00036025233566761017,0.04321983997466095
100,1,1.5,-0.0484389029443264,0.01337897457590587
100,1,2.0,-0.0484389029443264,0.01337897457590587
100,1,2.5,-0.048438904186089836,0.01337897349847798
100,1,3.0,-0.052574935679634414,0.015437212297849513
100,1,3.5,-0.053335716327031456,0.014298172849444483
100,1,4.0,-0.053335716327031456,0.014298172849444483
300,3,1.0,-0.02737909493347009,0.007385921307605523
300,3,1.5,-0.03295711800456047,0.0017100079850319845
300,3,2.0,-0.03593054289619128,0.0028057313526987948
300,3,2.5,-0.016893775512774784,0.035941418867962475
300,3,3.0,-0.017240652193625767,0.035829422514801014
300,3,3.5,-0.04221153259277344,0.005110575708028948
300,3,4.0,-0.04713942607243856,0.0033495653355303757
1000,10,1.0,0.011217915763457617,0.00228371799056781
1000,10,1.5,0.026615193113684654,0.003948704080255942
1000,10,2.0,0.10475256542364757,0.008424283162910235
1000,10,2.5,0.4151820143063863,0.08311627156927005
1000,10,3.0,0.9977026581764221,0.00422915424496033
1000,10,3.5,0.9977046052614847,0.004296077899504901
1000,10,4.0,0.9977202614148458,0.004322329009984627
