alpha,Q_Y_mean,Q_Y_std,Loss_mean,Loss_std,Steps_mean,qy_replica_0,loss_replica_0,qy_replica_1,loss_replica_1,qy_replica_2,loss_replica_2,qy_replica_3,loss_replica_3,qy_replica_4,loss_replica_4,qy_replica_5,loss_replica_5,qy_replica_6,loss_replica_6,qy_replica_7,loss_replica_7,qy_replica_8,loss_replica_8,qy_replica_9,loss_replica_9
0.5,0.005317852948792279,0.0015285717198019585,1.0244507921974844e-07,1.3363702718617907e-07,231.0,0.006138734985142946,2.8141888819277483e-08,0.0037702657282352448,4.1912892356776865e-07,0.002330714836716652,2.4366162421074478e-09,0.0035214584786444902,7.240571875399837e-08,0.006166079081594944,6.108857864006723e-09,0.006879298482090235,1.5988974588765359e-09,0.006451249122619629,2.4443971291532307e-09,0.006165722850710154,2.2012436318163964e-07,0.006963534280657768,4.5698584472120274e-08,0.004791471641510725,2.26362544708536e-07
1.0,0.01259000226855278,0.0020927135739498017,3.365553830292356e-07,2.7926403575999883e-07,591.0,0.01165683288127184,5.900097335143073e-07,0.013769478537142277,1.0118270665770979e-07,0.008227433077991009,5.331036732059147e-07,0.01040478516370058,4.7286366111620737e-07,0.014605481177568436,1.4426288430513523e-07,0.015747716650366783,1.299073915106419e-07,0.011824414134025574,6.401165109082285e-08,0.014284681528806686,9.673806289356435e-07,0.013016807846724987,1.427088420768996e-07,0.01236239168792963,2.201226578790738e-07
1.5,0.03125069513916969,0.005275776163351202,0.02947414554655552,0.020262269978572292,3000.0,0.02375524304807186,0.06331788003444672,0.0321989580988884,0.014456911943852901,0.02389139123260975,0.035928916186094284,0.028368953615427017,0.012022680602967739,0.036709293723106384,0.06073484569787979,0.0396973118185997,0.035425446927547455,0.029054513201117516,0.012767202220857143,0.03818146884441376,0.007826863788068295,0.03156561776995659,0.043533291667699814,0.02908420003950596,0.008727416396141052
2.0,0.11129197403788567,0.01737125615016279,1762.5072143554687,110.58775803748678,3000.0,0.11476829648017883,1823.047119140625,0.10533183813095093,1714.146728515625,0.09415735304355621,1775.7598876953125,0.07733611017465591,1941.8914794921875,0.1385284811258316,1728.8360595703125,0.12072350084781647,1628.608642578125,0.12731975317001343,1692.134765625,0.12710365653038025,1770.37939453125,0.10991722345352173,1947.677734375,0.0977335274219513,1602.59033203125
2.5,0.5095426231622696,0.138925824691746,5188.090637207031,1441.931771084704,3000.0,0.5179295539855957,5023.39404296875,0.42387309670448303,6069.93701171875,0.30931219458580017,7604.1298828125,0.4730331003665924,5717.49951171875,0.8223391771316528,1990.1573486328125,0.6058844923973083,4138.68115234375,0.4116865396499634,5999.4169921875,0.6016262173652649,4226.32373046875,0.551471471786499,4969.2353515625,0.37827038764953613,6142.13134765625
3.0,0.998624712228775,0.008298248166778826,5.852443065049374,14.693810124990536,3000.0,1.003677248954773,0.0023096802178770304,0.9949560761451721,5.600633812719025e-05,0.9944748282432556,0.0003640545764937997,0.9973943829536438,49.471134185791016,1.0064009428024292,0.11415697634220123,1.007553219795227,0.40417349338531494,0.9905092716217041,0.011909117922186852,1.0037113428115845,0.01674608886241913,1.0070536136627197,1.2629714012145996,0.9805161952972412,7.240609645843506
3.5,0.9990165829658508,0.008131811850202916,3.557896588131001,6.504200648229805,2680.2,1.0037728548049927,0.10771109908819199,0.994933009147644,9.434670573682524e-07,0.9944081902503967,0.000491339189466089,1.0029734373092651,0.44764894247055054,1.0060065984725952,2.1652121543884277,1.0067181587219238,18.001737594604492,0.9905012249946594,0.0005773100419901311,1.0032001733779907,0.000625872053205967,1.0067296028137207,14.854960441589355,0.9809225797653198,1.8441727434037603e-07
4.0,0.9986855506896972,0.007862828537831497,40.83330387194923,79.23117405511205,2730.2,1.0038254261016846,0.3072790801525116,0.9949303865432739,1.0937532834986996e-07,0.9944049715995789,0.07719048112630844,1.0023119449615479,21.909658432006836,1.005552053451538,26.8057918548584,1.0051765441894531,263.1602783203125,0.9905009865760803,2.2316491765650426e-07,1.0031875371932983,1.2263489961624146,1.0060441493988037,94.84648895263672,0.9809215068817139,2.2696963242196944e-06
4.5,0.9970042526721954,0.00731322668363008,541.0569744478911,320.41959522867654,3000.0,1.0009838342666626,615.123046875,0.9919617772102356,645.9521484375,0.991991400718689,614.3634033203125,1.0001310110092163,509.045654296875,1.0041013956069946,390.48345947265625,1.0033189058303833,1294.27685546875,0.9905002117156982,0.030895601958036423,1.000834584236145,637.1201171875,1.0049653053283691,494.2677307128906,0.9812541007995605,209.90643310546875
5.0,0.9957611382007598,0.005495479475029213,4538.503369140625,1082.342911405368,3000.0,0.9990714192390442,4963.80908203125,0.9918169975280762,4158.189453125,0.9913393259048462,3548.923095703125,0.9980111718177795,4960.50048828125,1.0002695322036743,5561.634765625,1.0006152391433716,6696.705078125,0.9912627935409546,2599.1953125,0.9979122877120972,4848.0576171875,1.002963900566101,4289.53466796875,0.984348714351654,3758.484130859375
